1,48.80121,2.29413,1
1,48.80218,2.29634,1
1,48.80222,2.29638,1
1,48.80225,2.29645,1
1,48.80238,2.29671,1
1,48.8024,2.29671,1
1,48.80241,2.29672,1
1,48.80242,2.29673,1
1,48.80243,2.29674,1
1,48.8026,2.29692,1
1,48.80365,2.29761,1
1,48.80406,2.29785,1
1,48.80438,2.29791,1
1,48.80505,2.29799,1
1,48.80627,2.29812,1
1,48.80679,2.29822,1
1,48.80697,2.29823,1
1,48.80702,2.29824,1
1,48.80705,2.29825,1
1,48.80709,2.29827,1
1,48.80716,2.29833,1
1,48.80717,2.29837,1
1,48.80717,2.29839,1
1,48.80718,2.29841,1
1,48.80718,2.29843,1
1,48.80719,2.29845,1
1,48.8072,2.29847,1
1,48.80722,2.29848,1
1,48.80724,2.29849,1
1,48.80726,2.2985,1
1,48.80731,2.29856,1
1,48.80738,2.29867,1
1,48.80746,2.29877,1
1,48.80803,2.2994,1
1,48.80867,2.30021,1
1,48.80921,2.30091,1
